1 1:0 2:-1.3598071336738 3:-0.0727811733098497 4:2.53634673796914 5:1.37815522427443 6:-0.338320769942518 7:0.462387777762292 8:0.239598554061257 9:0.0986979012610507 10:0.363786969611213 11:0.0907941719789316 12:-0.551599533260813 13:-0.617800855762348 14:-0.991389847235408 15:-0.311169353699879 16:1.46817697209427 17:-0.470400525259478 18:0.207971241929242 19:0.0257905801985591 20:0.403992960255733 21:0.251412098239705 22:-0.018306777944153 23:0.277837575558899 24:-0.110473910188767 25:0.0669280749146731 26:0.128539358273528 27:-0.189114843888824 28:0.133558376740387 29:-0.0210530534538215 30:149.62
1 1:0 2:1.19185711131486 3:0.26615071205963 4:0.16648011335321 5:0.448154078460911 6:0.0600176492822243 7:-0.0823608088155687 8:-0.0788029833323113 9:0.0851016549148104 10:-0.255425128109186 11:-0.166974414004614 12:1.61272666105479 13:1.06523531137287 14:0.48909501589608 15:-0.143772296441519 16:0.635558093258208 17:0.463917041022171 18:-0.114804663102346 19:-0.183361270123994 20:-0.145783041325259 21:-0.0690831352230203 22:-0.225775248033138 23:-0.638671952771851 24:0.101288021253234 25:-0.339846475529127 26:0.167170404418143 27:0.125894532368176 28:-0.00898309914322813 29:0.0147241691924927 30:2.69
1 1:1 2:-1.35835406159823 3:-1.34016307473609 4:1.77320934263119 5:0.379779593034328 6:-0.503198133318193 7:1.80049938079263 8:0.791460956450422 9:0.247675786588991 10:-1.51465432260583 11:0.207642865216696 12:0.624501459424895 13:0.066083685268831 14:0.717292731410831 15:-0.165945922763554 16:2.34586494901581 17:-2.89008319444231 18:1.10996937869599 19:-0.121359313195888 20:-2.26185709530414 21:0.524979725224404 22:0.247998153469754 23:0.771679401917229 24:0.909412262347719 25:-0.689280956490685 26:-0.327641833735251 27:-0.139096571514147 28:-0.0553527940384261 29:-0.0597518405929204 30:378.66
1 1:1 2:-0.966271711572087 3:-0.185226008082898 4:1.79299333957872 5:-0.863291275036453 6:-0.0103088796030823 7:1.24720316752486 8:0.23760893977178 9:0.377435874652262 10:-1.38702406270197 11:-0.0549519224713749 12:-0.226487263835401 13:0.178228225877303 14:0.507756869957169 15:-0.28792374549456 16:-0.631418117709045 17:-1.0596472454325 18:-0.684092786345479 19:1.96577500349538 20:-1.2326219700892 21:-0.208037781160366 22:-0.108300452035545 23:0.00527359678253453 24:-0.190320518742841 25:-1.17557533186321 26:0.647376034602038 27:-0.221928844458407 28:0.0627228487293033 29:0.0614576285006353 30:123.5
1 1:2 2:-1.15823309349523 3:0.877736754848451 4:1.548717846511 5:0.403033933955121 6:-0.407193377311653 7:0.0959214624684256 8:0.592940745385545 9:-0.270532677192282 10:0.817739308235294 11:0.753074431976354 12:-0.822842877946363 13:0.53819555014995 14:1.3458515932154 15:-1.11966983471731 16:0.175121130008994 17:-0.451449182813529 18:-0.237033239362776 19:-0.0381947870352842 20:0.803486924960175 21:0.408542360392758 22:-0.00943069713232919 23:0.79827849458971 24:-0.137458079619063 25:0.141266983824769 26:-0.206009587619756 27:0.502292224181569 28:0.219422229513348 29:0.215153147499206 30:69.99
1 1:2 2:-0.425965884412454 3:0.960523044882985 4:1.14110934232219 5:-0.168252079760302 6:0.42098688077219 7:-0.0297275516639742 8:0.476200948720027 9:0.260314333074874 10:-0.56867137571251 11:-0.371407196834471 12:1.34126198001957 13:0.359893837038039 14:-0.358090652573631 15:-0.137133700217612 16:0.517616806555742 17:0.401725895589603 18:-0.0581328233640131 19:0.0686531494425432 20:-0.0331937877876282 21:0.0849676720682049 22:-0.208253514656728 23:-0.559824796253248 24:-0.0263976679795373 25:-0.371426583174346 26:-0.232793816737034 27:0.105914779097957 28:0.253844224739337 29:0.0810802569229443 30:3.67
1 1:4 2:1.22965763450793 3:0.141003507049326 4:0.0453707735899449 5:1.20261273673594 6:0.191880988597645 7:0.272708122899098 8:-0.00515900288250983 9:0.0812129398830894 10:0.464959994783886 11:-0.0992543211289237 12:-1.41690724314928 13:-0.153825826253651 14:-0.75106271556262 15:0.16737196252175 16:0.0501435942254188 17:-0.443586797916727 18:0.00282051247234708 19:-0.61198733994012 20:-0.0455750446637976 21:-0.21963255278686 22:-0.167716265815783 23:-0.270709726172363 24:-0.154103786809305 25:-0.780055415004671 26:0.75013693580659 27:-0.257236845917139 28:0.0345074297438413 29:0.00516776890624916 30:4.99
1 1:7 2:-0.644269442348146 3:1.41796354547385 4:1.0743803763556 5:-0.492199018495015 6:0.948934094764157 7:0.428118462833089 8:1.12063135838353 9:-3.80786423873589 10:0.615374730667027 11:1.24937617815176 12:-0.619467796121913 13:0.291474353088705 14:1.75796421396042 15:-1.32386521970526 16:0.686132504394383 17:-0.0761269994382006 18:-1.2221273453247 19:-0.358221569869078 20:0.324504731321494 21:-0.156741852488285 22:1.94346533978412 23:-1.01545470979971 24:0.057503529867291 25:-0.649709005559993 26:-0.415266566234811 27:-0.0516342969262494 28:-1.20692108094258 29:-1.08533918832377 30:40.8
1 1:7 2:-0.89428608220282 3:0.286157196276544 4:-0.113192212729871 5:-0.271526130088604 6:2.6695986595986 7:3.72181806112751 8:0.370145127676916 9:0.851084443200905 10:-0.392047586798604 11:-0.410430432848439 12:-0.705116586646536 13:-0.110452261733098 14:-0.286253632470583 15:0.0743553603016731 16:-0.328783050303565 17:-0.210077268148783 18:-0.499767968800267 19:0.118764861004217 20:0.57032816746536 21:0.0527356691149697 22:-0.0734251001059225 23:-0.268091632235551 24:-0.204232669947878 25:1.0115918018785 26:0.373204680146282 27:-0.384157307702294 28:0.0117473564581996 29:0.14240432992147 30:93.2
1 1:9 2:-0.33826175242575 3:1.11959337641566 4:1.04436655157316 5:-0.222187276738296 6:0.49936080649727 7:-0.24676110061991 8:0.651583206489972 9:0.0695385865186387 10:-0.736727316364109 11:-0.366845639206541 12:1.01761446783262 13:0.836389570307029 14:1.00684351373408 15:-0.443522816876142 16:0.150219101422635 17:0.739452777052119 18:-0.540979921943059 19:0.47667726004282 20:0.451772964394125 21:0.203711454727929 22:-0.246913936910008 23:-0.633752642406113 24:-0.12079408408185 25:-0.385049925313426 26:-0.0697330460416923 27:0.0941988339514961 28:0.246219304619926 29:0.0830756493473326 30:3.68
